specimen.ID,digitizer,species.det,provisional.species,caste,ITS,body.length,scale,name,description,value
,,,,,178.9462983,180.04444,,m08,Labial palpomere 2 length,189.65231
,,,,,,164.10972,,m09,Labial palpomere 2 width,48.30114
,,,,,,,,m10,Distal labial palpomeres length,NA
,,,,,,,,m11,Stipes length,644.21054
,,,,,,,,m12,Maxillary palp length,98.06121
,,,,,,,,m13,Galea length,847.98768
,,,,,,,,m14,Galea width,175.47396
,,,,,,,,m15,"Stipes width, across from palp",152.076
OW220714-004,DRA,griseocollis,griseocollis,M,NA,19.73672582,222.73053,m01,Mentum length,686.04373
,,,,,,,213.3375,m02,Mentum width,172.53405
,,,,,ITS pixels,BL pixels,218.75836,m03,Glossa length,1334.5153
,,,,,,3442.666,212.20535,m04,"Glossa width, at mid-point",46.08205
,,,,,,,,m05,Flabellum length,24.03701
,,,,,ITS px/mm,BL px/mm,,m06,Labial palpomere 1 length,616.42356
,,,,,,176.7762067,,m07,Labial palpomere 1 width,67.47592
,,,,,,172.08267,,m08,Labial palpomere 2 length,180.4051
,,,,,,,,m09,Labial palpomere 2 width,46.2277
,,,,,,,,m10,Distal labial palpomeres length,NA
,,,,,,,,m11,Stipes length,593.42921
,,,,,,,,m12,Maxillary palp length,80.41006
,,,,,,,,m13,Galea length,841.18963
,,,,,,,,m14,Galea width,123.59791
,,,,,,,,m15,"Stipes width, across from palp",112.01587
OW220714-005,DRA,griseocollis,griseocollis,W,5.776192217,23.82110419,170.99968,m01,Mentum length,597.75915
,,,,,,,186.78568,m02,Mentum width,184.79177
,,,,,ITS pixels,BL pixels,177.83388,m03,Glossa length,1374.59933
,,,,,996.07229,4107.81721,182.84177,m04,"Glossa width, at mid-point",45.69464
,,,,,,,,m05,Flabellum length,19.31321
,,,,,ITS px/mm,BL px/mm,,m06,Labial palpomere 1 length,652.02761
,,,,,160.19988,160.19988,,m07,Labial palpomere 1 width,59.46427
,,,,,184.39089,184.39089,,m08,Labial palpomere 2 length,164.7574
,,,,,172.74258,172.74258,,m09,Labial palpomere 2 width,46.40043
,,,,,,,,m10,Distal labial palpomeres length,NA
,,,,,,,,m11,Stipes length,592.64576
,,,,,,,,m12,Maxillary palp length,55.56978
