specimen_id,species,caste,investigator,LM,scale,measurement,scale1,body,scale2,its,notes
,,,,7,,93.059,,,,,
,,,,8,,200.692,,,,,
,,,,9,,56.223,,,,,
,,,,10,,85.297,,,,,
,,,,11,,554.963,,,,,
,,,,12,,81.359,,,,,
,,,,13,,800.988,,,,,
,,,,14,,201.022,,,,,
,,,,15,,144.534,,,,,
JL190724-002,tern,W,JL,1,158.521,376.135,70.142,1069.822,68.86,304.041,
,,,,2,,114.004,,,,,
,,,,3,,493.2,,,,,
,,,,4,,30.806,,,,,
,,,,5,,19.416,,,,,
,,,,6,,319.782,,,,,
,,,,7,,48.836,,,,,
,,,,8,,118.615,,,,,
,,,,9,,33.541,,,,,
,,,,10,,46.343,,,,,
,,,,11,,325.776,,,,,
,,,,12,,44.713,,,,,
,,,,13,,475.103,,,,,
,,,,14,,101.074,,,,,
,,,,15,,78.772,,,,,
JL190716-009,tern,W,JL,1,306.727,535.412,68.771,1386.763,68.16,330.097,
,,,,2,,155.206,,,,,
,,,,3,,629.157,,,,,
,,,,4,,52.038,,,,,
,,,,5,,22.023,,,,,
,,,,6,,397.743,,,,,
,,,,7,,79.31,,,,,
,,,,8,,150.431,,,,,
,,,,9,,48.765,,,,,
,,,,10,,76.183,,,,,
,,,,11,,478.525,,,,,
,,,,12,,65.743,,,,,
,,,,13,,663.672,,,,,
,,,,14,,164.347,,,,,
,,,,15,,112.219,,,,,
JL190716-008,tern,W,JL,1,298.031,612.04,68.542,1082.99,69.69,277.626,
,,,,2,,204.002,,,,,
,,,,3,,841.471,,,,,
,,,,4,,63.127,,,,,
,,,,5,,27.893,,,,,
,,,,6,,496.667,,,,,
,,,,7,,103.697,,,,,
,,,,8,,205.663,,,,,
,,,,9,,65,,,,,
,,,,10,,88.815,,,,,
,,,,11,,560.659,,,,,
,,,,12,,86.451,,,,,
,,,,13,,842.005,,,,,
,,,,14,,196.759,,,,,
,,,,15,,133.959,,,,,
JL190716-007,tern,W,JL,1,311.634,587.001,70.004,1132.297,69.396,242.668,
,,,,2,,196.092,,,,,
,,,,3,,765.424,,,,,
,,,,4,,66.008,,,,,
,,,,5,,25.318,,,,,
,,,,6,,485.42,,,,,
,,,,7,,99.81,,,,,
,,,,8,,203.119,,,,,
,,,,9,,64.475,,,,,
,,,,10,,75.43,,,,,
,,,,11,,573.349,,,,,
,,,,12,,69.704,,,,,
,,,,13,,803.577,,,,,
,,,,14,,188.521,,,,,
,,,,15,,135.518,,,,,
JL190711-001,tern,W,JL,1,298.651,630.8,72.084,1193.294,67.851,248.652,
,,,,2,,205.65,,,,,
,,,,3,,828.674,,,,,
,,,,4,,68.066,,,,,
,,,,5,,26.019,,,,,
,,,,6,,525.809,,,,,
,,,,7,,102.859,,,,,
,,,,8,,209.766,,,,,
,,,,9,,59.059,,,,,
,,,,10,,78.971,,,,,
,,,,11,,584.572,,,,,
,,,,12,,109.541,,,,,
,,,,13,,855.047,,,,,
,,,,14,,189.13,,,,,
,,,,15,,127.906,,,,,
JL190628-001,tern,W,JL,1,313.132,683.085,70.879,1148.576,68.843,266.608,
,,,,2,,206.32,,,,,
,,,,3,,932.528,,,,,
,,,,4,,63.891,,,,,
,,,,5,,28.16,,,,,
,,,,6,,592.982,,,,,
,,,,7,,105.948,,,,,
,,,,8,,223.859,,,,,
,,,,9,,64.761,,,,,
,,,,10,,92.615,,,,,
,,,,11,,611.71,,,,,
,,,,12,,90.883,,,,,
,,,,13,,910.394,,,,,
,,,,14,,199.73,,,,,
,,,,15,,135.181,,,,,
JL190619-010,tern,W,JL,1,310.215,663.934,69.216,1173.754,69.767,285.237,
,,,,2,,208.586,,,,,
,,,,3,,869.348,,,,,
