specimen.id,species,caste,digitizer,its.mm,body.length.mm,scale,x,y,notes
,,,,,,,1586,345.333,
,,,,,,,1592.667,410.667,
,,,,,,,1552.667,422.667,
,,,,,,,1404.667,406.667,
,,,,,,,1284.667,429.333,
,,,,,,,1215.333,381.333,
,,,,,,,1107.333,381.333,
,,,,,,,832.667,554.667,
,,,,,,,1163.333,521.333,
,,,,,,,1191.333,594.667,
,,,,,,,1210,613.333,
,,,,,,,1482,552,
,,,,,,,1195.333,678.667,
,,,,,,,868.667,636,
,,,,,,,1228.667,709.333,
FJ190827-007,borealis,W,JL,5.575,19.273,141.34,2075,284,
,,,,,,,1604.333,300,
,,,,,,,1679,354.667,
,,,,,,,1775,365.333,
,,,,,,,1844.333,350.667,
,,,,,,,1904.333,430.667,
